CertIssuer,CertIsOsBinary,CertSigType,CertStatus,CertStatusMsg,aslr,authenticode,cfg,dotNET,dynamicBase,forceIntegrity,gs,highEntropyVA,isolation,nx,path,rfg,safeSEH,seh
"CN=DigiCert Assured ID Code Signing CA-1, OU=www.digicert.com, O=DigiCert Inc, C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,C:\Windows\System32\DbxSvc.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,C:\Windows\System32\dns-sd.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,C:\Windows\System32\java.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,C:\Windows\System32\javaw.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,C:\Windows\System32\javaws.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,C:\Windows\System32\TPHDEXLG64.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,C:\Windows\System32\TpShCTL.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,C:\Windows\System32\TpShEvUI.exe,FALSE,FALSE,TRUE
"CN=VeriSign Class 3 Code Signing 2010 CA, OU=Terms of use at https://www.verisign.com/rpa (c)10, OU=VeriSign Trust Network, O=""VeriSign, Inc."", C=US",FALSE,Authenticode,Valid,Signature verified.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,C:\Windows\System32\TpShocks.exe,FALSE,FALSE,TRUE
"CN=DigiCert EV Code Signing CA (SHA2), OU=www.digicert.com, O=DigiCert Inc, C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,C:\Windows\System32\Macromed\Flash\FlashUtil64_28_0_0_161_pepper.exe,FALSE,FALSE,TRUE
"CN=DigiCert EV Code Signing CA (SHA2), OU=www.digicert.com, O=DigiCert Inc, C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\Macromed\Flash\FlashUtil64_32_0_0_363_Plugin.exe,FALSE,FALSE,TRUE
"CN=COMODO RSA Extended Validation Code Signing CA, O=COMODO CA Limited, L=Salford, S=Greater Manchester, C=GB",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\Npcap\NpcapHelper.exe,FALSE,FALSE,TRUE
"CN=COMODO RSA Extended Validation Code Signing CA, O=COMODO CA Limited, L=Salford, S=Greater Manchester, C=GB",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\Npcap\WlanHelper.exe,FALSE,FALSE,TRUE
