CertIssuer,CertIsOsBinary,CertSigType,CertStatus,CertStatusMsg,aslr,authenticode,cfg,dotNET,dynamicBase,forceIntegrity,gs,highEntropyVA,isolation,nx,path,rfg,safeSEH,seh
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\agentactivationruntimestarter.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AgentService.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\aitstatic.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\alg.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AppHostRegistrationVerifier.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\appidcertstorecheck.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\appidpolicyconverter.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\appidtel.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\ApplicationFrameHost.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\ApplySettingsTemplateCatalog.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\ApplyTrustOffline.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\ApproveChildRequest.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AppVClient.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AppVDllSurrogate.exe,FALSE,FALSE,TRUE
"CN=Microsoft Code Signing PCA 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",FALSE,Authenticode,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\appverif.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AppVNice.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AppVShNotify.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Authenticode,Valid,Signature verified.,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,C:\Windows\System32\AppVStreamingUX.exe,FALSE,FALSE,FALSE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\ARP.EXE,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\at.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AtBroker.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\attrib.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\audiodg.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\auditpol.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AuthHost.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\autochk.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\autoconv.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\autofmt.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\AxInstUI.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\baaupdate.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\backgroundTaskHost.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\BackgroundTransferHost.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bash.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bcdboot.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bcdedit.exe,FALSE,FALSE,TRUE
"CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",TRUE,Catalog,Valid,Signature verified.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,C:\Windows\System32\bdechangepin.exe,FALSE,FALSE,TRUE
